0.000000	0.000000
0.073000	0.078528
0.106000	0.117853
0.171000	0.202890
0.180000	0.215499
0.184000	0.221171
0.202000	0.247217
0.268000	0.350369
0.337000	0.472049
0.344000	0.485239
0.368000	0.531702
0.405000	0.607218
0.419000	0.637065
0.473000	0.759071
0.477000	0.768558
0.512000	0.854336
0.525000	0.887491
0.588000	1.058626
0.606000	1.110849
0.646000	1.232500
0.755000	1.606347
0.776000	1.686065
0.823000	1.874236
0.874000	2.094521
0.881000	2.126128
0.906000	2.241811
0.950000	2.456424
0.955000	2.481730
1.000000	2.718282
